91.71469666820894,X1
1.7293751575461398,X4
1.5304621262140072,X2 x X1
1.4072140531915427,X2
0.7239235900749231,X1 x X0
0.6748833699364803,X4 x X1
0.3372385865542032,X0
0.2871363067291519,X6 x X1
0.11625307706779511,X7 x X1
0.1121577511838784,X8 x X1
0.10242095636085947,X6
0.09599870145785278,X5 x X1
0.08654397436363066,X4 x X2
0.030593911389061812,X3 x X1
0.02982799350825667,X6 x X0
0.01839858384996632,X6 x X2
0.015617780259321533,X8
0.012543370462486231,X5
0.012518596005442306,X7 x X2
0.011090117526092904,X8 x X2
0.009956366363899995,X7
0.006872820768206361,X2 x X0
0.00676438086786171,X8 x X0
0.005632860709971525,X4 x X0
0.00478425608278155,X5 x X0
0.004555666833636469,X3
0.0031032015183025366,X7 x X0
0.0029482833454321893,X6 x X4
0.0029280338308869144,X7 x X6
0.0027828446319728755,X5 x X2
0.0027369949310122256,X8 x X3
0.002454033128754741,X3 x X0
0.0016341662339413629,X6 x X5
0.0015869060375211777,X6 x X3
0.001534501714615962,X3 x X2
0.0012968550516670614,X7 x X4
0.001221200226724576,X8 x X6
0.0010931896880372926,X7 x X5
0.0009128698894918348,X8 x X4
0.0008875544146227741,X5 x X4
0.0008251791689154928,X8 x X5
0.0007318623996270406,X7 x X3
0.000603113909925127,X4 x X3
0.0005799513548466234,X8 x X7
0.00019007971681527975,X5 x X3
